Size, Regular, Karatsuba, Java's BigInteger
279, 5.549188000000001E-6, 2.3180387E-5, 3.5410000000000003E-7
280, 6.175395000000001E-6, 2.6352288000000002E-5, 3.7958100000000004E-7
281, 6.428725000000001E-6, 2.8082428E-5, 3.4775200000000003E-7
282, 5.58654E-6, 2.3453963E-5, 3.42239E-7
283, 5.524535E-6, 2.4892652E-5, 4.83754E-7
284, 6.227560000000001E-6, 2.7473583E-5, 4.13058E-7
285, 6.04335E-6, 2.5129823E-5, 3.2707200000000003E-7
286, 5.418693E-6, 2.3132836E-5, 3.24375E-7
287, 6.148378E-6, 2.7584579000000003E-5, 3.7181400000000005E-7
288, 6.030507E-6, 2.7217307000000004E-5, 3.7453300000000004E-7
289, 6.109426000000001E-6, 2.7888692E-5, 3.2541000000000005E-7
290, 6.801614E-6, 3.2369315E-5, 4.95388E-7
291, 1.2213484E-5, 3.0442588000000003E-5, 4.16864E-7
292, 6.470038E-6, 2.7872947E-5, 4.819330000000001E-7
293, 6.9906040000000006E-6, 3.0934446E-5, 4.67406E-7
294, 6.349477E-6, 2.9154391000000002E-5, 3.9141600000000004E-7
295, 6.145792000000001E-6, 3.1137037000000005E-5, 4.5671800000000003E-7
296, 7.056193E-6, 5.0764905E-5, 4.3527300000000004E-7
297, 6.449929000000001E-6, 2.8135977E-5, 3.7628800000000004E-7
298, 6.282516E-6, 3.3380841E-5, 4.54639E-7
299, 1.2213328E-5, 3.0678568E-5, 3.80383E-7
300, 6.340273E-6, 2.8258462E-5, 4.0408700000000004E-7
301, 6.305125E-6, 3.1949711E-5, 4.7033600000000006E-7
302, 6.931187E-6, 3.0257477E-5, 3.74325E-7
303, 6.2096700000000005E-6, 2.8661227E-5, 3.71623E-7
304, 6.15716E-6, 2.9370429000000002E-5, 3.9637700000000003E-7
305, 8.254593000000001E-6, 3.1290863E-5, 3.55157E-7
306, 6.135374E-6, 3.0979448E-5, 3.5165900000000004E-7
307, 6.892444000000001E-6, 3.4349117E-5, 4.09629E-7
308, 1.0778867E-5, 4.0675569E-5, 3.52065E-7
309, 6.970081000000001E-6, 3.2631232E-5, 4.81224E-7
310, 7.81075E-6, 3.6704356E-5, 5.479850000000001E-7
311, 1.2711585E-5, 3.252468E-5, 4.2903100000000005E-7
312, 6.923068000000001E-6, 3.5430116E-5, 8.682300000000001E-7
313, 8.205878E-6, 3.4343968E-5, 4.2967700000000004E-7
314, 6.920963E-6, 3.1502316E-5, 4.04356E-7
315, 7.084807E-6, 3.9036782E-5, 4.87008E-7
316, 7.543978000000001E-6, 3.5246915000000004E-5, 4.0494400000000003E-7
317, 6.922513E-6, 3.21154E-5, 4.0541400000000003E-7
318, 7.0835270000000006E-6, 3.5744292E-5, 4.97917E-7
319, 9.911950000000001E-6, 4.4270976000000005E-5, 4.78191E-7
320, 6.821854000000001E-6, 3.2128569000000005E-5, 4.22662E-7
321, 7.955139000000001E-6, 3.7628921000000006E-5, 4.3371100000000006E-7
322, 7.898328E-6, 3.1798493E-5, 4.19876E-7
323, 6.959715000000001E-6, 3.2975457000000005E-5, 4.3726200000000004E-7
324, 7.571847E-6, 3.6436216000000006E-5, 4.1158400000000004E-7
325, 7.694138E-6, 3.5928860000000005E-5, 3.98568E-7
326, 7.687139000000001E-6, 4.0472924E-5, 4.73752E-7
327, 8.161759E-6, 3.586006900000001E-5, 3.97395E-7
328, 7.648026E-6, 3.7643056E-5, 4.87424E-7
329, 8.479763000000002E-6, 3.6239788000000005E-5, 4.82147E-7
330, 7.525012E-6, 3.4478332000000006E-5, 4.7641000000000007E-7
331, 7.863153000000001E-6, 4.372927E-5, 5.68184E-7
332, 8.209382E-6, 3.5597094E-5, 4.81985E-7
333, 7.885797E-6, 3.8006408000000004E-5, 5.426000000000001E-7
334, 8.069661E-6, 3.6308353000000004E-5, 4.74167E-7
335, 7.699591E-6, 3.5232013E-5, 4.5391500000000005E-7
336, 7.805836000000001E-6, 4.149679800000001E-5, 5.280660000000001E-7
337, 8.662913E-6, 3.6468944000000006E-5, 4.78923E-7
338, 7.681711000000001E-6, 3.7854263E-5, 5.0165E-7
339, 1.4143496E-5, 3.7814506000000005E-5, 4.6468200000000006E-7
340, 7.575946000000001E-6, 3.5499235E-5, 5.019400000000001E-7
341, 8.419719E-6, 3.8601336000000004E-5, 4.996040000000001E-7
342, 7.605329E-6, 3.7782221E-5, 5.26196E-7
343, 8.631765E-6, 4.3121495000000003E-5, 5.01977E-7
344, 8.946504E-6, 3.792297E-5, 4.4546100000000005E-7
345, 8.68943E-6, 3.8404082000000005E-5, 4.3456200000000005E-7
346, 9.455027E-6, 4.375507E-5, 4.98744E-7
347, 8.799065000000001E-6, 3.8294118000000006E-5, 4.83946E-7
348, 8.511399E-6, 4.3511176000000006E-5, 6.79436E-7
349, 8.5865E-6, 4.0291145E-5, 5.28673E-7
350, 8.534013E-6, 3.7427333000000004E-5, 5.22468E-7
351, 9.398406000000001E-6, 4.3301401E-5, 5.502E-7
352, 8.486723E-6, 3.7606141000000005E-5, 5.242430000000001E-7
353, 8.377408E-6, 4.205753100000001E-5, 5.42547E-7
354, 8.682033E-6, 4.0016721000000003E-5, 4.88137E-7
355, 8.651748E-6, 3.8020953000000006E-5, 5.27333E-7
356, 9.936659E-6, 4.2074383000000005E-5, 5.54265E-7
357, 8.774564E-6, 3.7786174E-5, 5.40081E-7
358, 8.495811000000001E-6, 4.4616251E-5, 5.60011E-7
359, 8.870340000000002E-6, 3.9448878E-5, 5.162870000000001E-7
360, 8.599874000000001E-6, 4.0363386E-5, 5.48769E-7
361, 1.0272531000000002E-5, 4.3020506E-5, 5.58973E-7
362, 9.411316999999999E-6, 4.0779821E-5, 4.93481E-7
363, 1.0034069E-5, 4.5198003E-5, 5.632730000000001E-7
364, 9.526183000000002E-6, 4.265277E-5, 4.94239E-7
365, 9.230364E-6, 4.5188668E-5, 5.2345E-7
366, 1.0105259E-5, 4.1483753E-5, 4.94363E-7
367, 9.541913000000001E-6, 4.0868521E-5, 7.10344E-7
368, 1.0200275E-5, 4.575631E-5, 5.764330000000001E-7
369, 9.699535E-6, 4.3106887000000003E-5, 5.984310000000001E-7
370, 1.0172557E-5, 4.4609798E-5, 6.40406E-7
371, 9.709768E-6, 4.1356118000000005E-5, 5.655119999999999E-7
372, 9.283703E-6, 4.8540825E-5, 6.01371E-7
373, 1.0952177E-5, 4.1605802000000006E-5, 5.54161E-7
374, 9.365608E-6, 4.274510300000001E-5, 6.52309E-7
375, 1.0072654000000002E-5, 4.3805690000000006E-5, 6.129E-7
376, 9.433870000000001E-6, 4.1405452E-5, 6.284E-7
377, 1.0521744000000002E-5, 4.3946136E-5, 6.907770000000001E-7
378, 9.344415000000001E-6, 6.013203500000001E-5, 5.51798E-7
379, 1.1078809E-5, 6.4381228E-5, 5.66605E-7
380, 1.0304479E-5, 4.406960700000001E-5, 5.89968E-7
381, 1.1345116000000001E-5, 4.546735700000001E-5, 5.77861E-7
382, 1.0233345E-5, 4.444658000000001E-5, 5.773840000000001E-7
383, 1.0713513000000002E-5, 4.884460700000001E-5, 5.35102E-7
384, 1.0944347E-5, 4.3696351E-5, 6.204750000000001E-7
385, 1.0808666E-5, 5.830756E-5, 7.303E-7
386, 1.0387141E-5, 4.5332280000000005E-5, 6.77211E-7
387, 1.0802947000000001E-5, 4.3883617E-5, 6.44369E-7
388, 1.0360775E-5, 4.683622600000001E-5, 7.337740000000001E-7
389, 1.0842516E-5, 4.4839576000000005E-5, 6.5898E-7
390, 1.0105965E-5, 4.6421448E-5, 7.16733E-7
391, 1.1014567E-5, 4.422710500000001E-5, 6.02962E-7
392, 1.0182715000000001E-5, 4.589579200000001E-5, 6.5243E-7
393, 1.0996828E-5, 4.67801E-5, 6.037700000000001E-7
394, 1.0415563000000001E-5, 4.5535807000000005E-5, 6.63168E-7
395, 1.0850115E-5, 4.5490545000000004E-5, 6.11156E-7
396, 1.0478853E-5, 4.7468076E-5, 7.12567E-7
